1703227822,Кутарма,
1703227833,Мархамат,
1703227855,Шукурмерган,
1703230,ШАХРИХАНСКИЙ РАЙОН,г. Шахрихан
1703230500,"Города районного подчинения 
Шахриханского района",
1703230501,Шахрихан,
1703230550,Городские поселки Шахриханского района,
1703230552,Вахим,
1703230554,Чужа,
1703230556,Сегаза кум,
1703230800,Сельские сходы граждан Шахриханского района,
1703230811,Чужа,
1703230822,Найнава,
1703230826,Гулистан,
1703230835,Пахтаабад,
1703230846,Таштепа,
1703230857,Узбекистан,
1703230862,Урта Шахрихан,
1703230869,Хакикат,
1703230872,Абдубий,
1703230882,Янгиюль,
1703230890,Назармахрам,
1703230898,Юкори Шахрихан,
1703232,ПАХТААБАДСКИЙ РАЙОН,г. Пахтаабад
1703232500,"Города районного подчинения 
Пахтаабадского района",
1703232501,Пахтаабад,
1703232550,Городские поселки Пахтаабадского района,
1703232556,Дустлик,
1703232559,Избоскан,
1703232563,Пушмон,
1703232800,"Сельские сходы граждан Пахтаабадского 
района",
1703232803,Бустан,
1703232810,Иттифак,
1703232820,Маданият,
1703232834,Пахтакор,
1703232845,Уйгур,
1703236,ХОДЖААБАДСКИЙ РАЙОН,г. Ходжаабад
1703236500,"Города районного подчинения 
Ходжаабадского района",
1703236501,Ходжаабад,
1703236550,Городские поселки Ходжаабадского района,
1703236552,Гулистон,
1703236554,Дилкушод,
1703236558,Кутарма,
1703236562,Манак,
1703236564,Хидирша,
1703236800,Сельские сходы граждан Ходжаабадского района,
1703236826,Манак,
1703236861,Биpлашган,
1703236872,Олтин водий,
1703236883,Ходжаабад,
1703401,Андижан,
1703408,Ханабад,
1703408550,"Городские поселки, подч. Ханабадскому 
горхок-ту",
1703408553,Ханабад,
1703408800,"Сельские сходы гр-н, подч. Ханабадскому 
гоpхок-ту",
1703408805,Ханабад,
1706,БУХАРСКАЯ ОБЛАСТЬ,г. Бухара
1706204,Алатский район,г. Алат
1706204500,Города районного подчинения Алатского района,
1706204501,Алат,
1706204550,Городские поселки Алатского района,
1706204552,Ганчи Чандир,
1706204553,Кесакли,
1706204554,Киртай,
1706204555,Сола коровул,
1706204557,Жайхунобод,
1706204558,Узбекистан,
1706204559,Човдур,
1706204561,Бурибек Чандир,
1706204800,Сельские сходы граждан Алатского района,
1706204804,Бахористон,
1706204808,Гулистон,
1706204810,Денау,
1706204820,Джумабазар,
1706204830,Пахтакор,
1706204840,Талкансаят,
1706204850,Чандиp,
1706204853,Чарбаг,
1706204856,Киpлишон,
1706204860,Соин - Коpавул,
1706207,БУХАРСКИЙ РАЙОН,г. Галлаасия
1706207500,Города районного подчинения Бухарского района,
1706207501,Галлаасия,
1706207550,Городские поселки Бухарского района,
1706207553,Дехча,
1706207554,Подшойи,
1706207555,Работак,
1706207557,Урта Новметан,
1706207558,Хумини боло,
1706207561,Арабхона,
1706207800,Сельские сходы граждан Бухарского района,
1706207810,Багикалан,
1706207824,Каваля Махмуд,
1706207830,Кунжикала,
1706207835,Шахонча,
1706207846,Гулшанобод,
1706207857,Рабаткалмок,
1706207860,Саховат,
1706207880,Шергирон,
1706207882,Янгиобод,
1706207883,Янги Турмуш,
1706207886,Сохибкоp,
1706207890,Суфикоpгаp,
1706207895,Истикбол,
1706207898,Кучкумаp,
1706212,ВАБКЕНТСКИЙ РАЙОН,г. Вабкент
1706212500,Города районного подчинения Вабкентского района,
1706212501,Вабкент,
1706212550,Городские поселки Вобкентского района,
1706212554,Навбахор,
1706212556,Ширин,
1706212558,Косари,
1706212800,Сельские сходы граждан Вабкентского района,
1706212808,Имамказыхан,
1706212811,Пиpмаст,
1706212822,Кунград,
1706212833,Кумушкент,
1706212844,Рахкент,
1706212854,Хайрабатча,
1706212855,Халач,
1706212857,Хайрхуш,
1706212867,Кипчак,
1706212877,Эхсон,
1706212887,Янгикент,
1706215,ГИЖДУВАНСКИЙ РАЙОН,г. Гиждуван
1706215500,Города районного подчинения Гиждуванского района,
1706215501,Гиждуван,
1706215550,Городские поселки Гиждуванского района,
1706215554,Зафарабад,
1706215556,Абади,
1706215559,Бештуво,
1706215561,Гаждумак,
1706215562,Джовгари,
1706215563,Кулижаббор,
1706215564,Мазраган,
1706215565,Юкори Ростгуй,
1706215566,Узанон,
1706215568,Хатча,
1706215569,Чагдари,
1706215574,Додарак,
1706215576,Наматгарон,
1706215578,Юкори Кумок,
1706215800,Сельские сходы граждан Гиждуванского района,
1706215803,Армечан,
1706215805,Буктарай,
1706215810,Гавшун,
1706215820,Зарангаpи,
1706215827,Карахани,
1706215831,Кукча,
1706215836,Позагари,
1706215840,Пахтаобод,
1706215848,Соктари,
1706215849,Сарвари,
1706215850,Сармиджан,
1706215860,Ульфатбиби,
1706215870,им.Ф. Юнусова,
1706215880,Фиришкент,
1706219,КАГАНСКИЙ РАЙОН,г. Каган
1706219550,Городские поселки Каганского района,
1706219557,Сараенобод,
1706219559,Тутикунда,
1706219800,Сельские сходы граждан Каганского района,
1706219811,Каган,
1706219814,Хужа Якшаба,
1706219816,Гулистон,
1706219818,Янги хает,
1706219822,Нурафшон,
1706219824,Беклаp,
1706219833,Ниёзхожи,
1706219836,Саpаен,
1706219844,Накшбанди,
1706230,КАРАКУЛЬСКИЙ РАЙОН,г. Каракуль
1706230500,Города районного подчинения Каракульского района,
1706230501,Каракуль,
1706230550,Городские поселки Каракульского района,
1706230552,Бандбоши,
1706230553,Даргабоги,
1706230554,Джигачи,
1706230555,Корахожи,
1706230556,Куввача,
1706230557,Мирзакалъа,
1706230558,Сайед,
1706230559,Солур,
1706230561,Чандирабад,
1706230562,Шуррабад,
1706230563,Якка Аълам,
1706230564,Янгикалъа,
1706230800,Сельские сходы граждан Каракульского района,
1706230806,Даргали,
1706230809,Бандбаши,
1706230813,Джигачи,
1706230815,Шуppабот,
1706230825,Зиярат,
1706230827,Кулончи,
1706230832,Казан,
1706230834,Куввача,
1706230847,Караун,
1706230850,Каракуль,
1706230854,Чандиp,
1706230859,Саят,
1706230862,Маллаишайх,
1706230875,Куйи Янгибазар,
1706230880,Каpаходжи,
1706230885,Човли,
1706232,КАРАУЛБАЗАРСКИЙ РАЙОН,г. Каpаулбазаp
1706232500,Города районного подч. Каpаулбазаpского pайона,
1706232501,Караулбазар,
1706232800,Сельские сходы граждан Караулбазарского района,
1706232803,Навбахор,
1706232807,Бустон,
1706232810,Бузачи,
1706232815,Жаркок,
1706240,ПЕШКУНСКИЙ РАЙОН,гп Янгибозор
1706240550,Городские поселки Пешкунского района,
1706240551,Янгибозор,
1706240553,Пешку,
1706240555,Шавгон,
